Response ID,FOLIO,80 aniversario,Programa,Nombre completo del último programa del que egresó:,Escuela,Nivel,Año en que egresó del último programa :,Decada,Quinteta,Campus,Usted es:,Promedio
R_9HqGR0D0l3ZXBZL,LINLAG271171,R_abE0hL3ykBKq9c5,LIN,Licenciado en Comercio Internacional,Negocios,Profesional,2015,01´s,01´s - 2,ITESM Campus Laguna,Mujer,-
R_1fZ5q3GiDh5VlAQ,IMAQRO264948,-,IMA,Ingeniero Mecánico Administrador,Ingeniería y Ciencias,Profesional,2017,01´s,01´s - 2,ITESM Campus Querétaro,Hombre,-
R_1P0H1wi1vNCJ5GN,LCDGDL268789,-,LCD,Licenciado en Comunicación y Medios Digitales,Humanidades y Educación,Profesional,2016,01´s,01´s - 2,ITESM Campus Guadalajara,Mujer,-
R_3MfA3q2IXx5JeQF,LCDMTY253709,-,LCD,Licenciado en Comunicación y Medios Digitales,Humanidades y Educación,Profesional,2016,01´s,01´s - 2,ITESM Campus Monterrey,Mujer,-
R_UfqDrCTlTWLodB7,LINCSF271061,-,LIN,Licenciado en Comercio Internacional,Negocios,Profesional,2015,01´s,01´s - 2,ITESM Campus Santa Fe,Mujer,-
R_3O8okYw0pJlkQc5,LINLAG271309,-,LIN,Licenciado en Comercio Internacional,Negocios,Profesional,2017,01´s,01´s - 2,ITESM Campus Laguna,Hombre,-
R_1kOGyxwNf948nhW,IISGDL268896,R_sb6GQoyTCmOqO8V,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,2015,01´s,01´s - 2,ITESM Campus Guadalajara,Hombre,-
R_1rNt1Z42ZCQeNd5,IISGDL270540,-,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,2016,01´s,01´s - 2,ITESM Campus Guadalajara,Hombre,-
R_2corbCa1x9zCJaR,LECCCM248164,-,LEC,Licenciado en Economía,Gobierno y Ciencias Sociales,Profesional,2009,00´s,00´s - 2,ITESM Campus Ciudad de México,Mujer,-
R_1OvjGQYgn9FddZ1,LSCQRO239993,R_3dSolRF6qZ9mNfS,LSC,Licenciado en Sistemas de Computación Administrativa,Ingeniería y Ciencias,Profesional,2008,00´s,00´s - 2,ITESM Campus Querétaro,Hombre,-
R_OCNgaGsg0IXIQfv,CPFCCM217587,R_STw5a03ZlQE23UR,CPF,Licenciado en Contaduría Pública y Finanzas,Negocios,Profesional,2007,00´s,00´s - 2,ITESM Campus Ciudad de México,Mujer,0
R_5uz44JakiPs1Tb3,ISCQRO220385,-,ISC,Ingeniero en Sistemas Computacionales,Ingeniería y Ciencias,Profesional,2013,01´s,01´s - 1,ITESM Campus Querétaro,Hombre,-
R_301XFbMwc9PmeWD,IDSCSF230681,-,IDS,Ingeniero en Desarrollo Sustentable,Ingeniería y Ciencias,Profesional,2016,01´s,01´s - 2,ITESM Campus Santa Fe,Hombre,-
R_2Bz0GkEcnXZPZuc,CPFLAG270861,-,CPF,Licenciado en Contaduría Pública y Finanzas,Negocios,Profesional,2017,01´s,01´s - 2,ITESM Campus Laguna,Hombre,-
R_30qQEs4o6qm922N,IISCCM223599,R_1GvKw5BcMhvYpZG,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,2007,00´s,00´s - 2,ITESM Campus Ciudad de México,Hombre,-
R_1eLXSBj8FLANchI,ARQGDL270207,-,ARQ,Arquitecto,Arquitectura y Diseño,Profesional,2016,01´s,01´s - 2,ITESM Campus Guadalajara,Mujer,-
R_3rZpGsLARCbhnHY,LEPCSF267294,-,LEP,Licenciado en Economía y Ciencia Política,Gobierno y Ciencias Sociales,Profesional,2016,01´s,01´s - 2,ITESM Campus Santa Fe,Hombre,-
R_20O3CzYtgHh22WZ,LEMCCM267144,-,LEM,Licenciado en Mercadotecnia,Negocios,Profesional,2012,01´s,01´s - 1,ITESM Campus Ciudad de México,Mujer,-
R_1C3WWLo3Y11LEVb,IIAQRO266092,-,IIA,Ingeniero en Industrias Alimentarias,Ingeniería y Ciencias,Profesional,2016,01´s,01´s - 2,ITESM Campus Querétaro,Mujer,-
R_1CIqor6ZV5Wz88j,LDIGDL268875,R_DOIhqI5XlefPpfz,LDI,Licenciado en Diseño Industrial,Arquitectura y Diseño,Profesional,2014,01´s,01´s - 1,ITESM Campus Guadalajara,Hombre,-
R_10NnzNebCDIaV50,MBAMOR237202,-,MBA,Maestría en Administración y Dirección de Empresas,Negocios,Maestría,2014,01´s,01´s - 1,ITESM Campus Morelia,Mujer,-
R_2YaWqqBN9ldzohY,MAMTY26879,-,MA,Maestría en Administración,Negocios,Maestría,1983,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_DwPsEMprrze86jL,ISEQRO191335,R_1rAiYZvo1HpLqEQ,ISE,Ingeniero en Sistemas Electrónicos,Ingeniería y Ciencias,Profesional,2004,00´s,00´s - 1,ITESM Campus Querétaro,Hombre,0
R_1DnBjz3oRLnAWpK,LEMCVA204567,R_3HXM64DKcI936qW,LEM,Licenciado en Mercadotecnia,Negocios,Profesional,2005,00´s,00´s - 2,ITESM Campus Cuernavaca,Mujer,0
R_2zTIZyz968AMOvJ,LRICCM243967,R_3h9E5kVTBsU27Mq,LRI,Licenciado en Relaciones Internacionales,Gobierno y Ciencias Sociales,Profesional,2011,01´s,01´s - 1,ITESM Campus Ciudad de México,Mujer,-
R_SCTBDAkQ2jGbxXH,LRICSF229161,-,LRI,Licenciado en Relaciones Internacionales,Gobierno y Ciencias Sociales,Profesional,2014,01´s,01´s - 1,ITESM Campus Santa Fe,Mujer,-
R_31mwFJWRwoJf9Xq,IMDGDL251362,R_ZlSuFvfo4Ny3gdP,IMD,Ingeniero Biomédico,Ingeniería y Ciencias,Profesional,2012,01´s,01´s - 1,ITESM Campus Guadalajara,Mujer,-
R_3r0vy70zRL34I1e,LEDGDL270752,-,LED,Licenciado en Derecho,Gobierno y Ciencias Sociales,Profesional,2017,01´s,01´s - 2,ITESM Campus Guadalajara,Mujer,-
R_Q6ZOrQWlPOsyeqJ,BIBGDL269164,-,BIB,B.A. International Business,Negocios,Profesional,2016,01´s,01´s - 2,ITESM Campus Guadalajara,Mujer,-
R_2TXZQqTNWeVg8ts,LDPCCM267777,-,LDP,Licenciado en Derecho y Ciencia Política,Gobierno y Ciencias Sociales,Profesional,2016,01´s,01´s - 2,ITESM Campus Ciudad de México,Mujer,-
R_1eWzAFTytrAOKMB,LMCLAG209621,-,LMC,Licenciado en Mercadotecnia y Comunicación ,Negocios,Profesional,2015,01´s,01´s - 2,ITESM Campus Laguna,Mujer,-
R_UVJ52LkXbrw4YI9,ISECEM106748,-,ISE,Ingeniero en Sistemas Electrónicos,Ingeniería y Ciencias,Profesional,2000,00´s,00´s - 1,ITESM Campus Estado de México,Mujer,0
R_1QfKlFC0bvcoMoy,ICMTY243960,R_2bOuskeDxkZ6zL2,IC,Ingeniero Civil,Ingeniería y Ciencias,Profesional,2011,01´s,01´s - 1,ITESM Campus Monterrey,Hombre,-
R_2ZR237XfGEvhes0,MAD-226547,R_2118Tkqe88MdMkE,MAD,Maestría en Administración de Instituciones Educativas,Humanidades y Educación,Maestría,2011,01´s,01´s - 1,Universidad TecVirtual,Mujer,-
R_3FLMoKNl7NyT74U,EPYCCM249597,-,EPY,Especialidad en Administración de Proyectos,Negocios,Especialidad,2013,01´s,01´s - 1,ITESM Campus Ciudad de México,Mujer,-
R_2cBmc9PoJOcjsxJ,IBTQRO265424,-,IBT,Ingeniero en Biotecnología,Ingeniería y Ciencias,Profesional,2015,01´s,01´s - 2,ITESM Campus Querétaro,Hombre,-
R_9Ta8GgFIkwVV8yZ,CPFCEM113519,-,CPF,Licenciado en Contaduría Pública y Finanzas,Negocios,Profesional,2009,00´s,00´s - 2,ITESM Campus Estado de México,Hombre,0
R_3pasoa73zwg1NUT,MTICDJ211340,-,MTI,Maestría en Administración de Tecnologías de Información,Ingeniería y Ciencias,Maestría,2003,00´s,00´s - 1,ITESM Campus Ciudad Juárez,Hombre,0
R_3NwwcW8WwSjdtHf,LRIMTY262620,-,LRI,Licenciado en Relaciones Internacionales,Gobierno y Ciencias Sociales,Profesional,2015,01´s,01´s - 2,ITESM Campus Monterrey,Mujer,-
R_8dWQGmAzfMwvoYN,LINGDL270347,-,LIN,Licenciado en Comercio Internacional,Negocios,Profesional,2016,01´s,01´s - 2,ITESM Campus Guadalajara,Hombre,-
R_1ezBuQ8T7T7BLDm,LCCGDL269528,R_245EKsDVFi1WnaD,LCC,Licenciado en Ciencias de la Comunicación,Humanidades y Educación,Profesional,2015,01´s,01´s - 2,ITESM Campus Guadalajara,Hombre,-
R_1QJWueH2Edhe4lh,LAEIRA197843,-,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,2011,01´s,01´s - 1,ITESM Campus Irapuato,Mujer,-
R_1Ld1TuzwPx05qwa,LINLAG271039,-,LIN,Licenciado en Comercio Internacional,Negocios,Profesional,2014,01´s,01´s - 1,ITESM Campus Laguna,Hombre,-
R_3ltb0L719pKPCJY,IDACEM268066,-,IDA,Ingeniero en Diseño Automotriz,Ingeniería y Ciencias,Profesional,2015,01´s,01´s - 2,ITESM Campus Estado de México,Hombre,-
R_2uQUypz42HDD2A6,ISDQRO265820,-,ISD,Ingeniero en Sistemas Digitales y Robótica,Ingeniería y Ciencias,Profesional,2016,01´s,01´s - 2,ITESM Campus Querétaro,Hombre,-
R_3qC27M223p6NPfM,IMTGDL252476,-,IMT,Ingeniero en Mecatrónica,Ingeniería y Ciencias,Profesional,2015,01´s,01´s - 2,ITESM Campus Guadalajara,Hombre,-
R_1memc1GVoFI3tRm,MTE-206263,-,MTE,Maestría en Tecnología Educativa,Humanidades y Educación,Maestría,2012,01´s,01´s - 1,ITESM Universidad Virtual,Hombre,-
R_1djmJy7Z6aD3Zi0,IMTCCM268295,R_2rJiE5WVgMjH4dp,IMT,Ingeniero en Mecatrónica,Ingeniería y Ciencias,Profesional,2014,01´s,01´s - 1,ITESM Campus Ciudad de México,Hombre,-
R_31ZpesRGfaaATMC,IMTPUE241553,-,IMT,Ingeniero en Mecatrónica,Ingeniería y Ciencias,Profesional,2011,01´s,01´s - 1,ITESM Campus Puebla,Hombre,-
R_2xxDbNc28L5gfM8,IMACEM73911,-,IMA,Ingeniero Mecánico Administrador,Ingeniería y Ciencias,Profesional,1992,90´s,90´s - 1,ITESM Campus Estado de México,Hombre,-
R_1jTg6ZzrlnBMjv3,LRICCM266291,R_2WDwSmzZzpP9OP9,LRI,Licenciado en Relaciones Internacionales,Gobierno y Ciencias Sociales,Profesional,2013,01´s,01´s - 1,ITESM Campus Ciudad de México,Mujer,-
R_1mEoHoSNmBlXT1r,IMTTOL271124,R_1DIk2hY10q7hrP3,IMT,Ingeniero en Mecatrónica,Ingeniería y Ciencias,Profesional,2016,01´s,01´s - 2,ITESM Campus Toluca,Hombre,-
R_12mwL8fCO1xZSxY,IMEMTY60433,R_3hEWtU3PQJhYG0V,IME,Ingeniero Mecánico Electricista,Ingeniería y Ciencias,Profesional,2001,00´s,00´s - 1,ITESM Campus Monterrey,Hombre,0
R_3pcpEbHBArQUuYr,MA-226636,-,MA,Maestría en Administración,Negocios,Maestría,2010,01´s,01´s - 1,ITESM Universidad Virtual,Hombre,-
R_1I62pj1JzKFEPP7,LEFCCM267968,-,LEF,Licenciado en Economía y Finanzas,Gobierno y Ciencias Sociales,Profesional,2015,01´s,01´s - 2,ITESM Campus Ciudad de México,Hombre,-
R_0xn4XOeSh4wZiSJ,ARQLEO270486,R_1QbVgxuepdhc1Qy,ARQ,Arquitecto,Arquitectura y Diseño,Profesional,2017,01´s,01´s - 2,ITESM Campus León,Mujer,-
R_cOwnJ7VUrJwMdTX,LADGDL269174,-,LAD,Licenciado en Animación y Arte Digital,Arquitectura y Diseño,Profesional,2014,01´s,01´s - 1,ITESM Campus Guadalajara,Mujer,-
R_3L84vMeJF9ZzUz1,LCQMTY180332,R_1EZpis1G96M2h9U,LCQ,Licenciado en Ciencias Químicas,Ingeniería y Ciencias,Profesional,2008,00´s,00´s - 2,ITESM Campus Monterrey,Mujer,-
R_30qtv26IXVfeBdi,ARQGDL251795,-,ARQ,Arquitecto,Arquitectura y Diseño,Profesional,2014,01´s,01´s - 1,ITESM Campus Guadalajara,Hombre,-
R_bxaQnSm4Jzd2D8R,ITCCEM255775,-,ITC,Ingeniero en Tecnologías Computacionales,Ingeniería y Ciencias,Profesional,2010,01´s,01´s - 1,ITESM Campus Estado de México,Mujer,-
R_D7hzGCgLoYBze81,ISEMTY176635,-,ISE,Ingeniero en Sistemas Electrónicos,Ingeniería y Ciencias,Profesional,2005,00´s,00´s - 2,ITESM Campus Monterrey,Mujer,0
R_2QRNRNiRKVWuFsO,MAFCSF216478,R_31BpVKRwwIWj22z,MAF,Maestría en Finanzas,Negocios,Maestría,2009,00´s,00´s - 2,ITESM Campus Santa Fe,Hombre,-
R_2U0pMmeJIYZrt1h,MAMOR221458,-,MA,Maestría en Administración,Negocios,Maestría,2009,00´s,00´s - 2,ITESM Campus Morelia,Hombre,0
R_9oX7SYvyq2qx5XH,DCCCEM256038,-,DCC,Doctorado en Ciencias Computacionales,Ingeniería y Ciencias,Doctorado,2017,01´s,01´s - 2,ITESM Campus Estado de México,Mujer,-
R_3Rq4kPYRlgGVbz9,LAEGDL270317,-,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,2016,01´s,01´s - 2,ITESM Campus Guadalajara,Hombre,-
R_2VmzxaV4bWHJMTP,IISMOR236412,-,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,2012,01´s,01´s - 1,ITESM Campus Morelia,Mujer,-
R_BEVMQTW8wJrLZEB,IMDMTY263525,R_1IuTKU1EZ9yffhl,IMD,Ingeniero Biomédico,Ingeniería y Ciencias,Profesional,2016,01´s,01´s - 2,ITESM Campus Monterrey,Mujer,-
R_29QgJ3qEjxNV8OZ,MAFEGADE182214,-,MAF,Maestría en Finanzas,Negocios,Maestría,2013,01´s,01´s - 1,Sede EGADE Business School,Hombre,-
R_vPLZgeSFubbNRMB,LEDCHI262402,-,LED,Licenciado en Derecho,Gobierno y Ciencias Sociales,Profesional,2016,01´s,01´s - 2,ITESM Campus Chihuahua,Mujer,-
R_30qSKOZKJkE1xXN,LEDGDL270093,R_21AnEAYc79vka1U,LED,Licenciado en Derecho,Gobierno y Ciencias Sociales,Profesional,2015,01´s,01´s - 2,ITESM Campus Guadalajara,Mujer,-
R_2eRWCAPvVMhAOrI,IMDGDL247620,R_sSRX3qviLjsZ0hH,IMD,Ingeniero Biomédico,Ingeniería y Ciencias,Profesional,2015,01´s,01´s - 2,ITESM Campus Guadalajara,Mujer,-
R_vH8hN5RhWt2bHTX,LEMCCM268053,R_2dGWtCedafx4EsL,LEM,Licenciado en Mercadotecnia,Negocios,Profesional,2013,01´s,01´s - 1,ITESM Campus Ciudad de México,Mujer,-
R_3qjSddur7D1TDCa,IISCSF228270,-,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,2011,01´s,01´s - 1,ITESM Campus Santa Fe,Hombre,-
R_2dyBC1RYElfIK0j,IISMTY186110,-,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,2013,01´s,01´s - 1,ITESM Campus Monterrey,Hombre,-
R_2ZR2miQuTzrEkuS,ICMTY154508,-,IC,Ingeniero Civil,Ingeniería y Ciencias,Profesional,1999,90´s,90´s - 2,ITESM Campus Monterrey,Hombre,0
R_1cXFudq5dsp5i6d,ARQMTY179770,-,ARQ,Arquitecto,Arquitectura y Diseño,Profesional,2008,00´s,00´s - 2,ITESM Campus Monterrey,Mujer,-
R_cYlkR6SDuqGD4xH,ITIHGO220751,R_116O7fg46ASpCj2,ITI,Ingeniero en Tecnologías de Información,Ingeniería y Ciencias,Profesional,2012,01´s,01´s - 1,ITESM Campus Hidalgo,Hombre,-
R_3PZcoRyONtrDiBP,IMTGDL270623,R_agGjsBdzGX9hHSp,IMT,Ingeniero en Mecatrónica,Ingeniería y Ciencias,Profesional,2017,01´s,01´s - 2,ITESM Campus Guadalajara,Hombre,-
R_3IPIg3fZ1AtFEfJ,IISHGO272245,-,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,2015,01´s,01´s - 2,ITESM Campus Hidalgo,Hombre,-
R_3awSK0Jr1nIHLP3,IBTQRO264841,R_31ABklGVIC234Be,IBT,Ingeniero en Biotecnología,Ingeniería y Ciencias,Profesional,2017,01´s,01´s - 2,ITESM Campus Querétaro,Hombre,-
R_10Pgs2IygS867hq,LINCCM267784,-,LIN,Licenciado en Comercio Internacional,Negocios,Profesional,2016,01´s,01´s - 2,ITESM Campus Ciudad de México,Hombre,-
R_2ctEQmvgn5x1UOj,MNL-227335,-,MNL,Maestría en Administración de Negocios Globales,Negocios,Maestría,2010,01´s,01´s - 1,Universidad TecVirtual,Hombre,-
R_PG0HuKrtnuDuOiZ,IISGDL237428,R_BxHGZOobvNgSyY1,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,2007,00´s,00´s - 2,ITESM Campus Guadalajara,Hombre,-
R_1IKpbo9eNJKqLbo,IMEMTY72946,-,IME,Ingeniero Mecánico Electricista,Ingeniería y Ciencias,Profesional,1992,90´s,90´s - 1,ITESM Campus Monterrey,Hombre,-
R_1js7FlJZKjEpOn9,MAFEGADE255624,R_yEBD5estPDDhlRf,MAF,Maestría en Finanzas,Negocios,Maestría,2013,01´s,01´s - 1,Sede EGADE Business School,Hombre,-
R_1rONIWqnbKJjUaP,BIBCSF261830,-,BIB,B.A. International Business,Negocios,Profesional,2017,01´s,01´s - 2,ITESM Campus Santa Fe,Hombre,-
R_z7orTP3TJ1AgoaR,LAFGDL148668,-,LAF,Licenciado en Administración Financiera,Negocios,Profesional,1997,90´s,90´s - 2,ITESM Campus Guadalajara,Hombre,0
R_24AcTfjJjS7eU6o,IISSON128638,-,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,2002,00´s,00´s - 1,ITESM Campus Sonora Norte,Hombre,0
R_3qTIlqronErcTUK,IQAMTY147641,R_3Mu0CKTknxRrjS5,IQA,Ingeniero Químico Administrador,Ingeniería y Ciencias,Profesional,2008,00´s,00´s - 2,ITESM Campus Monterrey,Mujer,0
R_3M5WZAo0anlufre,LECMTY243786,R_3M4dPD4wpY9XIca,LEC,Licenciado en Economía,Gobierno y Ciencias Sociales,Profesional,2011,01´s,01´s - 1,ITESM Campus Monterrey,Mujer,-
R_1BRXDb5u17blKbq,IISQRO265838,R_3mlNPcO5Y2BHNot,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,2016,01´s,01´s - 2,ITESM Campus Querétaro,Hombre,-
R_2uD4uzvD4yDfRYe,LCDGDL247405,-,LCD,Licenciado en Comunicación y Medios Digitales,Humanidades y Educación,Profesional,2014,01´s,01´s - 1,ITESM Campus Guadalajara,Mujer,-
R_1BYporq0UncjhmJ,DEE-271603,R_1Q3qkKYm18QnGII,DEE,Doctorado en Innovación Educativa,Humanidades y Educación,Doctorado,2017,01´s,01´s - 2,Universidad TecVirtual,Mujer,-
R_2dsyaExg0d33GJN,LAECCM248050,R_AiAh9Vbmu9uHh5v,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,2015,01´s,01´s - 2,ITESM Campus Ciudad de México,Hombre,-
R_AHujiH8iq09qpjz,IISQRO265931,-,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,2017,01´s,01´s - 2,ITESM Campus Querétaro,Mujer,-
R_1mDdEHQLqc7CblZ,LAEMOR236316,-,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,2014,01´s,01´s - 1,ITESM Campus Morelia,Hombre,-
R_1NFazN6mJ17yWrb,IISCSF91802,-,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,2009,00´s,00´s - 2,ITESM Campus Santa Fe,Hombre,-
R_pRFbB4ZWkd7V2q5,IDSMTY252907,R_sZhZY6MjtTLupOx,IDS,Ingeniero en Desarrollo Sustentable,Ingeniería y Ciencias,Profesional,2016,01´s,01´s - 2,ITESM Campus Monterrey,Hombre,-
R_1FKQc5WzdndCTq2,IBTMTY224357,R_2EgE9GMPXHnpcBi,IBT,Ingeniero en Biotecnología,Ingeniería y Ciencias,Profesional,2012,01´s,01´s - 1,ITESM Campus Monterrey,Hombre,-
R_43o6FfplOtjQ8hP,LMCCSF269800,-,LMC,Licenciado en Mercadotecnia y Comunicación ,Negocios,Profesional,2017,01´s,01´s - 2,ITESM Campus Santa Fe,Hombre,-
R_1IE0vQxpLQQHbX8,IISGDL238555,-,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,2009,00´s,00´s - 2,ITESM Campus Guadalajara,Hombre,-
R_1TA7cjLC0dmKDTz,ITEGDL269391,-,ITE,Ingeniero en Tecnologías Electrónicas,Ingeniería y Ciencias,Profesional,2013,01´s,01´s - 1,ITESM Campus Guadalajara,Hombre,-
R_3r2RDetw5Mbus7B,ITCCVA250152,R_21mJMUaSXYK2MbR,ITC,Ingeniero en Tecnologías Computacionales,Ingeniería y Ciencias,Profesional,2010,01´s,01´s - 1,ITESM Campus Cuernavaca,Mujer,-
R_25YBQb8oH6jzQrU,IMTCEM259472,R_2En9ebIFY1V9gUC,IMT,Ingeniero en Mecatrónica,Ingeniería y Ciencias,Profesional,2016,01´s,01´s - 2,ITESM Campus Estado de México,Hombre,-
R_3khWe4qWVWp8OSA,IISAGS272010,-,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,2015,01´s,01´s - 2,ITESM Campus Aguascalientes,Hombre,-
R_W2Ph3zxxglmUDOF,IISMTY271297,-,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,2017,01´s,01´s - 2,ITESM Campus Monterrey,Hombre,-
R_b8HtyefnhBAr9Qt,MID-271626,R_3EMf1JHCzJXMFFA,MID,Maestría en Innovación para el Desarrollo Empresarial,Ingeniería y Ciencias,Maestría,2017,01´s,01´s - 2,Universidad TecVirtual,Hombre,-
R_rqp9f6ATCN64l7X,ITEGDL269862,-,ITE,Ingeniero en Tecnologías Electrónicas,Ingeniería y Ciencias,Profesional,2015,01´s,01´s - 2,ITESM Campus Guadalajara,Mujer,-
R_1mJhFn3FKvvIQip,LMIMTY254014,-,LMI,Licenciado en Periodismo y Medios de Información ,Humanidades y Educación,Profesional,2015,01´s,01´s - 2,ITESM Campus Monterrey,Mujer,-
R_1oedsGwIPsPajeZ,IISMTY52642,-,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,1991,90´s,90´s - 1,ITESM Campus Monterrey,Hombre,-
R_1zbrQnlxOtVMzXr,MBAEGADE240425,-,MBA,Maestría en Administración y Dirección de Empresas,Negocios,Maestría,2016,01´s,01´s - 2,Sede EGADE Business School,Mujer,-
R_C96kk6kxB6lxR9n,CPFMTY253922,-,CPF,Licenciado en Contaduría Pública y Finanzas,Negocios,Profesional,2015,01´s,01´s - 2,ITESM Campus Monterrey,Mujer,-
R_3QQ9fVDFGhNNl0f,LAFMTY231720,-,LAF,Licenciado en Administración Financiera,Negocios,Profesional,2014,01´s,01´s - 1,ITESM Campus Monterrey,Hombre,-
R_2CPPMw1VMD9Tjf2,IMEMTY254105,-,IME,Ingeniero Mecánico Electricista,Ingeniería y Ciencias,Profesional,2017,01´s,01´s - 2,ITESM Campus Monterrey,Hombre,-
R_3I5z8iS99RON90N,LCCCCM211363,R_3MyUSHATvXL3b8l,LCC,Licenciado en Ciencias de la Comunicación,Humanidades y Educación,Profesional,2006,00´s,00´s - 2,ITESM Campus Ciudad de México,Mujer,0
R_3mkNeD7v5chl0kP,MAFEGADE242516,-,MAF,Maestría en Finanzas,Negocios,Maestría,2017,01´s,01´s - 2,Sede EGADE Business School,Mujer,-
R_1ewQU3HsX8YXNis,LINCCM157502,-,LIN,Licenciado en Comercio Internacional,Negocios,Profesional,2003,00´s,00´s - 1,ITESM Campus Ciudad de México,Mujer,0
R_2TZw003kCG9yUg1,BFIGDL269675,R_1I5ABel1wXv1Ti0,BFI,B.A. Financial Management,Negocios,Profesional,2015,01´s,01´s - 2,ITESM Campus Guadalajara,Mujer,-
R_3fDBUmULKWrVANg,IISCCM267271,R_3JFvJTbhfIqDVyR,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,2017,01´s,01´s - 2,ITESM Campus Ciudad de México,Mujer,-
R_1gcMXOCgYGhiNog,IISCEM257166,-,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,2016,01´s,01´s - 2,ITESM Campus Estado de México,Hombre,-
R_WqYMVIH1pjzA1sB,LPOCSF246731,-,LPO,Licenciado en Psicología Organizacional,Negocios,Profesional,2011,01´s,01´s - 1,ITESM Campus Santa Fe,Mujer,-
R_3HMNch2xXRPlIor,IMTCEM256787,R_3JlR1k0ZBHatFBe,IMT,Ingeniero en Mecatrónica,Ingeniería y Ciencias,Profesional,2014,01´s,01´s - 1,ITESM Campus Estado de México,Hombre,-
R_1BXkanIGnAhwCqI,LCCCCM212274,R_1C90Nlrs7rnqPuQ,LCC,Licenciado en Ciencias de la Comunicación,Humanidades y Educación,Profesional,2006,00´s,00´s - 2,ITESM Campus Ciudad de México,Mujer,0
R_PMAIYWQIRAjLAT7,IISLEO40315,R_3m8Ewf7gXVOFrMH,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,1998,90´s,90´s - 2,ITESM Campus León,Hombre,0
R_21txb8ugk9DpKPp,LAFMTY231215,-,LAF,Licenciado en Administración Financiera,Negocios,Profesional,2010,01´s,01´s - 1,ITESM Campus Monterrey,Hombre,-
R_3PuAfZZRoFN4oNs,IBTCEM258735,R_12aGCEfjlH0GZxJ,IBT,Ingeniero en Biotecnología,Ingeniería y Ciencias,Profesional,2017,01´s,01´s - 2,ITESM Campus Estado de México,Hombre,-
R_2EF5ofD68OxtEOn,LDICCM212126,-,LDI,Licenciado en Diseño Industrial,Arquitectura y Diseño,Profesional,2006,00´s,00´s - 2,ITESM Campus Ciudad de México,Mujer,0
R_3E9ZMVfk4bT61k7,IMDCHI166931,R_1LOj5UsvjH0gNv9,IMD,Ingeniero Biomédico,Ingeniería y Ciencias,Profesional,2013,01´s,01´s - 1,ITESM Campus Chihuahua,Mujer,-
R_BsxDejnB19Xmzlv,LEMGDL270247,-,LEM,Licenciado en Mercadotecnia,Negocios,Profesional,2016,01´s,01´s - 2,ITESM Campus Guadalajara,Mujer,-
R_3RqK3kinpdSdwtc,LAFGDL269226,-,LAF,Licenciado en Administración Financiera,Negocios,Profesional,2013,01´s,01´s - 1,ITESM Campus Guadalajara,Hombre,-
R_30oUN6SF53lRJmD,LINCVA269812,R_215liNEOmwIzHz6,LIN,Licenciado en Comercio Internacional,Negocios,Profesional,2014,01´s,01´s - 1,ITESM Campus Cuernavaca,Mujer,-
R_3LXR20qfUXW4stN,LEDCHI167303,-,LED,Licenciado en Derecho,Gobierno y Ciencias Sociales,Profesional,2015,01´s,01´s - 2,ITESM Campus Chihuahua,Mujer,-
R_1myO2Xt6tmP9xnA,LCDMTY188304,R_3O8iNJL7IQJNzdo,LCD,Licenciado en Comunicación y Medios Digitales,Humanidades y Educación,Profesional,2015,01´s,01´s - 2,ITESM Campus Monterrey,Mujer,-
R_3QXaPNA6lw72oTT,MTI-271619,-,MTI,Maestría en Administración de Tecnologías de Información,Ingeniería y Ciencias,Maestría,2016,01´s,01´s - 2,Universidad TecVirtual,Hombre,-
